codigo_producto,producto_dossier,producto_comp,nutriente,declarado_comp_pct,calculado_formula_pct,delta_pct,kg_totales_en_formula,masa_formulacion_kg
150,CALFERZINC-P,CALFERZINC P,N,0,0,0,0,1000
150,CALFERZINC-P,CALFERZINC P,N-NH4,0,0,0,0,1000
150,CALFERZINC-P,CALFERZINC P,N-NO3,0,0,0,0,1000
150,CALFERZINC-P,CALFERZINC P,N-org,0,0,0,0,1000
150,CALFERZINC-P,CALFERZINC P,N-ur,0,0,0,0,1000
150,CALFERZINC-P,CALFERZINC P,P,0,0,0,0,1000
150,CALFERZINC-P,CALFERZINC P,K,3,0,-3,0,1000
150,CALFERZINC-P,CALFERZINC P,CaO,0,3,3,30,1000
150,CALFERZINC-P,CALFERZINC P,MgO,0,1.25,1.25,12.5,1000
150,CALFERZINC-P,CALFERZINC P,S,7,1,-6,10,1000
150,CALFERZINC-P,CALFERZINC P,B,0,0,0,0,1000
150,CALFERZINC-P,CALFERZINC P,Co,0,0,0,0,1000
150,CALFERZINC-P,CALFERZINC P,Cu,0,0,0,0,1000
150,CALFERZINC-P,CALFERZINC P,Fe,0,0,0,0,1000
150,CALFERZINC-P,CALFERZINC P,Mn,0,0,0,0,1000
150,CALFERZINC-P,CALFERZINC P,Mo,0,0,0,0,1000
150,CALFERZINC-P,CALFERZINC P,SiO2,0,0,0,0,1000
150,CALFERZINC-P,CALFERZINC P,Zn,22,23.625,1.625,236.25,1000
150,CALFERZINC-P,CALFERZINC P,Na,0,0,0,0,1000
