codigo_producto,producto_dossier,producto_comp,nutriente,declarado_comp_pct,calculado_formula_pct,delta_pct,kg_totales_en_formula,masa_formulacion_kg
85,15-15-15,MF 15-15-15,N,15,13.68,-1.32,136.8,1000
85,15-15-15,MF 15-15-15,N-NH4,0,5.4,5.4,54,1000
85,15-15-15,MF 15-15-15,N-NO3,0,0,0,0,1000
85,15-15-15,MF 15-15-15,N-org,0,0,0,0,1000
85,15-15-15,MF 15-15-15,N-ur,0,8.28,8.28,82.8,1000
85,15-15-15,MF 15-15-15,P,15,13.8,-1.2,138,1000
85,15-15-15,MF 15-15-15,K,15,13.8,-1.2,138,1000
85,15-15-15,MF 15-15-15,CaO,0,0,0,0,1000
85,15-15-15,MF 15-15-15,MgO,0,0,0,0,1000
85,15-15-15,MF 15-15-15,S,0,0,0,0,1000
85,15-15-15,MF 15-15-15,B,0,0,0,0,1000
85,15-15-15,MF 15-15-15,Co,0,0,0,0,1000
85,15-15-15,MF 15-15-15,Cu,0,0,0,0,1000
85,15-15-15,MF 15-15-15,Fe,0,0,0,0,1000
85,15-15-15,MF 15-15-15,Mn,0,0,0,0,1000
85,15-15-15,MF 15-15-15,Mo,0,0,0,0,1000
85,15-15-15,MF 15-15-15,SiO2,0,0,0,0,1000
85,15-15-15,MF 15-15-15,Zn,0,0,0,0,1000
85,15-15-15,MF 15-15-15,Na,0,0,0,0,1000
