DOSSIER,PRODUCTO,MATERIA_PRIMA,KG_TON,C,N,N-NH4,N-NO3,N-org,N-ur,P,K,CaO,MgO,S,B,Co,Cu,Fe,Mn,Mo,SiO2,Zn,Na
02_NUCLEO CAMASI,NUCLEO CAMASI GRIS X KILO,BENTONITA GRIS X KILO,600.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02_NUCLEO CAMASI,NUCLEO CAMASI GRIS X KILO,TOTAL,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03_3-PRODUCTOR,3-PRODUCTOR 7-12-40,SULFATO DE AMONIO (SAM),32.2,0,0.6762,0.6762,0,0,0,0,0,0,0,0.7728,0,0,0,0,0,0,0,0,0
03_3-PRODUCTOR,3-PRODUCTOR 7-12-40,NITRATO DE POTASIO,465.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03_3-PRODUCTOR,3-PRODUCTOR 7-12-40,FOSFATO DIPOTASICO (DKP),258.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03_3-PRODUCTOR,3-PRODUCTOR 7-12-40,SULFATO DE POTASIO,120.6,0,0,0,0,0,0,0,6.2712,0,0,2.1708,0,0,0,0,0,0,0,0,0
03_3-PRODUCTOR,3-PRODUCTOR 7-12-40,SULFATO DE MAGNESIO ANHIDRO,62.5,0,0,0,0,0,0,0,0,0,1.5625,1.25,0,0,0,0,0,0,0,0,0
03_3-PRODUCTOR,3-PRODUCTOR 7-12-40,ACIDO BORICO,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03_3-PRODUCTOR,3-PRODUCTOR 7-12-40,SULFATO DE COBALTO,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03_3-PRODUCTOR,3-PRODUCTOR 7-12-40,SULFATO DE COBRE,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0176,0,0,0,0,0,0
03_3-PRODUCTOR,3-PRODUCTOR 7-12-40,SULFATO DE HIERRO,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03_3-PRODUCTOR,3-PRODUCTOR 7-12-40,SULFATO DE MANGANESO,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03_3-PRODUCTOR,3-PRODUCTOR 7-12-40,MOLIBDATO DE SODIO,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03_3-PRODUCTOR,3-PRODUCTOR 7-12-40,SULFATO DE ZINC,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0315,0
03_3-PRODUCTOR,3-PRODUCTOR 7-12-40,E.D.T.A,50.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03_3-PRODUCTOR,3-PRODUCTOR 7-12-40,DIÓXIDO SILICIO,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03_3-PRODUCTOR,3-PRODUCTOR 7-12-40,TOTAL,,0.0,0.6762,0.6762,0.0,0.0,0.0,0.0,6.2712,0.0,1.5625,4.1936,0.0,0.0,0.0176,0.0,0.0,0.0,0.0,0.0315,0.0
03_NUCLEO 4,NUCLEO 4 X KILO,CAL DOLOMITA X KILO,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03_NUCLEO 4,NUCLEO 4 X KILO,SILICATO DE MAGNESIO X KILO,400.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03_NUCLEO 4,NUCLEO 4 X KILO,CARBONATO DE CALCIO X KILO,250.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03_NUCLEO 4,NUCLEO 4 X KILO,SULFATO DE CALCIO X KILO,150.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03_NUCLEO 4,NUCLEO 4 X KILO,KIESERITA EN POLVO X KILO,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03_NUCLEO 4,NUCLEO 4 X KILO,TOTAL,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
04_10-20-20,TODERO,UREA,381.59255429162357,0,17.5533,0,0,0,17.5533,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04_10-20-20,TODERO,FOSFATO MONOAMONICO (MAP),77.04239917269908,0,0.8475,0.8475,0,0,0,4.0062,0,0,0,0,0,0,0,0,0,0,0,0,0
04_10-20-20,TODERO,FOSFATO MONOPOTASICO (MKP),32.8852119958635,0,0,0,0,0,0,1.71,1.1181,0,0,0,0,0,0,0,0,0,0,0,0
04_10-20-20,TODERO,FOSFATO DIPOTASICO (DKP),355.2223371251293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04_10-20-20,TODERO,SULFATO MAGNESIO ANHIDRO,33.60910031023785,0,0,0,0,0,0,0,0,0,0.8402,0.6722,0,0,0,0,0,0,0,0,0
04_10-20-20,TODERO,SULFATO DE COBRE,1.2409513960703207,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0273,0,0,0,0,0,0
04_10-20-20,TODERO,SULFATO FERROSO MONOHIDRATO,3.6194415718717687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04_10-20-20,TODERO,SULFATO DE MANGANESO,1.0341261633919339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04_10-20-20,TODERO,SULFATO DE ZINC,2.0682523267838677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0724,0
04_10-20-20,TODERO,QUITINA ORGÁNICA (HYT-C),111.68562564632886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04_10-20-20,TODERO,TOTAL,,0.0,18.4007,0.8475,0.0,0.0,17.5533,5.7162,1.1181,0.0,0.8402,0.6722,0.0,0.0,0.0273,0.0,0.0,0.0,0.0,0.0724,0.0
04_25-4-24,MF 25-4-24 X KILO,UREA X KILO,490.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04_25-4-24,MF 25-4-24 X KILO,DAP GRANULADO X KILO,80.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04_25-4-24,MF 25-4-24 X KILO,KCL GRANULADO X KILO,390.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04_25-4-24,MF 25-4-24 X KILO,NUCLEO 4 X KILO,40.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04_25-4-24,MF 25-4-24 X KILO,TOTAL,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05_10-30-10,TODERO,UREA,381.59255429162357,0,17.5533,0,0,0,17.5533,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05_10-30-10,TODERO,FOSFATO MONOAMONICO (MAP),77.04239917269908,0,0.8475,0.8475,0,0,0,4.0062,0,0,0,0,0,0,0,0,0,0,0,0,0
05_10-30-10,TODERO,FOSFATO MONOPOTASICO (MKP),32.8852119958635,0,0,0,0,0,0,1.71,1.1181,0,0,0,0,0,0,0,0,0,0,0,0
05_10-30-10,TODERO,FOSFATO DIPOTASICO (DKP),355.2223371251293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05_10-30-10,TODERO,SULFATO MAGNESIO ANHIDRO,33.60910031023785,0,0,0,0,0,0,0,0,0,0.8402,0.6722,0,0,0,0,0,0,0,0,0
05_10-30-10,TODERO,SULFATO DE COBRE,1.2409513960703207,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0273,0,0,0,0,0,0
05_10-30-10,TODERO,SULFATO FERROSO MONOHIDRATO,3.6194415718717687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05_10-30-10,TODERO,SULFATO DE MANGANESO,1.0341261633919339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05_10-30-10,TODERO,SULFATO DE ZINC,2.0682523267838677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0724,0
05_10-30-10,TODERO,QUITINA ORGÁNICA (HYT-C),111.68562564632886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05_10-30-10,TODERO,TOTAL,,0.0,18.4007,0.8475,0.0,0.0,17.5533,5.7162,1.1181,0.0,0.8402,0.6722,0.0,0.0,0.0273,0.0,0.0,0.0,0.0,0.0724,0.0
05_18-18-18,MF 18-18-18 X KILO,UREA X KILO,220.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05_18-18-18,MF 18-18-18 X KILO,DAP GRANULADO X KILO,370.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05_18-18-18,MF 18-18-18 X KILO,KCL GRANULADO X KILO,280.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05_18-18-18,MF 18-18-18 X KILO,NUCLEO 4 X KILO,130.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05_18-18-18,MF 18-18-18 X KILO,TOTAL,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06_13-5-27,salida,UREA - NUTRICION PLANTAS,200.0,0,9.2,0,0,0,9.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
