codigo_producto,producto_dossier,producto_comp,item_padre,desc_item_padre,codigo_mp,desc_mp,lista_proveedor,cantidad_kg,pct_masa_total,pct_masa_formulacion,es_empaque,match_comp_mp,comp_mp_nombre,comp_mp_proveedor,comp_mp_cprov,pct_N,pct_N-NH4,pct_N-NO3,pct_N-org,pct_N-ur,pct_P,pct_K,pct_CaO,pct_MgO,pct_S,pct_B,pct_Co,pct_Cu,pct_Fe,pct_Mn,pct_Mo,pct_SiO2,pct_Zn,pct_Na,kg_N,kg_N-NH4,kg_N-NO3,kg_N-org,kg_N-ur,kg_P,kg_K,kg_CaO,kg_MgO,kg_S,kg_B,kg_Co,kg_Cu,kg_Fe,kg_Mn,kg_Mo,kg_SiO2,kg_Zn,kg_Na
574,NUCLEO FOSFORO-1,NUCLEO FOSFORO 1,574,NUCLEO FOSFORO 1 X KILO,290,ROCA FOSFORICA 26% X KILO,,750,68.1818,68.1818,NO,proveedor_generico_misma_composicion,ROCA FOSFORICA-26,PRACO,1,0,0,0,0,0,26,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195,0,270,0,0,0,0,0,0,0,0,0,0,0
574,NUCLEO FOSFORO-1,NUCLEO FOSFORO 1,574,NUCLEO FOSFORO 1 X KILO,111,BENTONITA ROJA X KILO,,100,9.0909,9.0909,NO,proveedor_generico_misma_composicion,BENTONITA ROJA,COMERCIALIZADORA HA,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,47,0,0
574,NUCLEO FOSFORO-1,NUCLEO FOSFORO 1,574,NUCLEO FOSFORO 1 X KILO,120,CAL DOLOMITA X KILO,,50,4.5455,4.5455,NO,proveedor_generico_misma_composicion,CAL DOLOMITA,BM,1,0,0,0,0,0,0,0,34,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,7,0,0,0,0,0,0,0,0,0,0
574,NUCLEO FOSFORO-1,NUCLEO FOSFORO 1,574,NUCLEO FOSFORO 1 X KILO,74,KIESERITA EN POLVO X KILO,,50,4.5455,4.5455,NO,proveedor_generico_misma_composicion,KIESERITA,MANUCHAR,1,0,0,0,0,0,0,0,0,25,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,10,0,0,0,0,0,0,0,0,0
574,NUCLEO FOSFORO-1,NUCLEO FOSFORO 1,574,NUCLEO FOSFORO 1 X KILO,274,SILICATO DE MAGNESIO X KILO,,50,4.5455,4.5455,NO,proveedor_ambiguo,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
574,NUCLEO FOSFORO-1,NUCLEO FOSFORO 1,574,NUCLEO FOSFORO 1 X KILO,214,VINAZA X KILO,,100,9.0909,9.0909,NO,proveedor_generico_misma_composicion,VINAZA,MANUELITA,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
