COD;PRODUCTO;CLASE;TIPO;Test;C;N;N-NH4;N-NO3;N-org;N-ur;P;K;CaO;MgO;S;B;Co;Cu;Fe;Mn;Mo;SiO2;Zn;Na
657;MFE 28-4-9+EM;PT;G;1;;28;;;;;4;9;;;;;;;;;;;;
592;MFE 28-5-0+EM;PT;G;1;;28;;;;;5;0;;;;;;;;;;;;
548;MFE 28-5-15+EM;PT;G;1;;28;;;;;5;15;;;;;;;;;;;;
609;MFE 28-5-9+EM;PT;G;1;;28;;;;;5;9;;;;;;;;;;;;
608;MFE 29 10 6 + EM;PT;G;1;;29;;;;;10;6;;;;;;;;;;;;
428;MFE 29-15-5+EM;PT;G;1;;29;;;;;15;5;;;;;;;;;;;;
607;MFE 29-1-11+EM;PT;G;1;;29;;;;;1;11;;;;;;;;;;;;
683;MFE 29-6-12+EM;PT;G;1;;29;;;;;6;12;;;;;;;;;;;;
840;MFE 30-0-20;PT;G;1;;30;;;;;0;20;;;;;;;;;;;;
598;MFE 30-11-6+EM;PT;G;1;;30;;;;;11;6;;;;;;;;;;;;
465;MFE 30-8-0-5CA+EM;PT;G;1;;30;;;;;8;0;4;;;;;;;;;;;
676;MFE 30-9-0+EM;PT;G;1;;30;;;;;9;0;;;;;;;;;;;;
R;MFE 31-0-20 TMC;PT;G;1;;31;;;;;0;20;;;;;;;;;;;;
671;MFE 31-5-0+EM;PT;G;1;;31;;;;;5;0;;;;;;;;;;;;
597;MFE 31-6-7+EM;PT;G;1;;31;;;;;6;7;;;;;;;;;;;;
581;MFE 31-7K-9S;PT;G;1;;31;;;;;0;7;;;9;;;;;;;;;
1080;MFE 32-0-9;PT;G;1;;32;;;;;0;9;;;;;;;;;;;;
1402;MFE 32 1 12;PT;G;1;;32;;;;;1;12;;;;;;;;;;1.6;0.5;
599;MFE 33-6-6+EM;PT;G;1;;33;;;;;6;6;;;;;;;;;;;;
666;MFE 4-9-0+ EM;PT;G;1;;4;;;;;9;0;;;;;;;;;;;;
R1;MFE 41.4-0-6;PT;G;1;;41.4;;;;;0;6;;;;;;;;;;;;
R2;MFE 43.5-0-0-2.4S;PT;G;1;;43.5;;;;;0;0;;;2.4;;;;;;;;;
622;MFE 5-8-29+EM;PT;G;1;;5;;;;;8;29;;;;;;;;;;;;
603;MFE 6-6-33+EM;PT;G;1;;6;;;;;6;33;;;;;;;;;;;;
661;MFE 7-8-30+EM;PT;G;1;;7;;;;;8;30;;;;;;;;;;;;
551;MFE 8-6-24+EM;PT;G;1;;8;;;;;6;24;;;;;;;;;;;;
164;MICRON C;PT;G;1;;46;;;;;;;;;;;;;;;;;;
188;MICRON CS;PT;G;1;;40;;;;;;;;;6;;;;;;;;;
65;NUCLEO 4;PT;G;1;;;;;;;;;18;18;4;;;;;;;14;;
62;NUCLEO CAMASI GRIS;PT;G;1;;;;;;;;;10;1;1;;;;;;;20;;
563;NUCLEO CAMASI YARA;PT;G;1;;;;;;;;;25;3;1;;;;;;;14;;
140;NUCLEO FERCON;PT;G;1;;;;;;;;;17;17;4;;;;;;;12;;
679;NUCLEO FOSFORO 10;PT;G;1;;;;;;;10;;14;2;5;;;;;;;2;;
208;NUCLEO MAGNESIO;PT;G;1;;;;;;;;;;16;8;;;;;;;;;
803;NUCLEO MAGNESIO-S;PT;G;1;;;;;;;;;;16;8;;;;;;;;;
604;NUCLEO MAGNESIO-SILICIO;PT;G;1;;;;;;;;;;28;1;;;;;;;30;;
558;NUCLEO MAGNESIO-SILICIO EM;PT;G;1;;;;;;;;;;28;1;;;;;;;30;;
155;RAIFOS 20;PT;G;1;5;;;;;;20;;23;1.5;1;;;;;;;21;;
35;SILIMAGRAN;PT;G;1;;;;;;;5;;;30;;;;;;;;30;;
564;SULFATO ZINC 30%;PT;G;1;;;;;;;;;;;;;;;;;;;30;
160;ZUELO CA;PT;G;1;;;;;;;;3;27;12;4;;;;;;;4;;
