codigo_producto,producto_dossier,producto_comp,nutriente,declarado_comp_pct,calculado_formula_pct,delta_pct,kg_totales_en_formula,masa_formulacion_kg
997,SULFATO ZINC 22,SULFATO ZINC 22,N,0,0,0,0,1000
997,SULFATO ZINC 22,SULFATO ZINC 22,N-NH4,0,0,0,0,1000
997,SULFATO ZINC 22,SULFATO ZINC 22,N-NO3,0,0,0,0,1000
997,SULFATO ZINC 22,SULFATO ZINC 22,N-org,0,0,0,0,1000
997,SULFATO ZINC 22,SULFATO ZINC 22,N-ur,0,0,0,0,1000
997,SULFATO ZINC 22,SULFATO ZINC 22,P,0,0,0,0,1000
997,SULFATO ZINC 22,SULFATO ZINC 22,K,0,0,0,0,1000
997,SULFATO ZINC 22,SULFATO ZINC 22,CaO,0,3,3,30,1000
997,SULFATO ZINC 22,SULFATO ZINC 22,MgO,0,1.25,1.25,12.5,1000
997,SULFATO ZINC 22,SULFATO ZINC 22,S,0,1,1,10,1000
997,SULFATO ZINC 22,SULFATO ZINC 22,B,0,0,0,0,1000
997,SULFATO ZINC 22,SULFATO ZINC 22,Co,0,0,0,0,1000
997,SULFATO ZINC 22,SULFATO ZINC 22,Cu,0,0,0,0,1000
997,SULFATO ZINC 22,SULFATO ZINC 22,Fe,0,0,0,0,1000
997,SULFATO ZINC 22,SULFATO ZINC 22,Mn,0,0,0,0,1000
997,SULFATO ZINC 22,SULFATO ZINC 22,Mo,0,0,0,0,1000
997,SULFATO ZINC 22,SULFATO ZINC 22,SiO2,0,0,0,0,1000
997,SULFATO ZINC 22,SULFATO ZINC 22,Zn,0,23.625,23.625,236.25,1000
997,SULFATO ZINC 22,SULFATO ZINC 22,Na,0,0,0,0,1000
