idInterno;codigoExterno;producto;tipo;origen;estado;archivo_ficha;score;razon
PT0267;564;SULFATO ZINC 30%;G;csv;FUERTE;250718_FT SULFATO ZINC 22.docx;0.95;sinonimo: SULFATO ZINC 22
PT0268;160;ZUELO CA;G;csv;FUERTE;250718_FT ZUELOCa.pdf;1.00;coincidencia fuerte
PT0269;PT0269;CALFEIMPULSO;G;manual;FALTA;;0.00;sin coincidencia
PT0270;PT0270;RETAPE;G;manual;FALTA;;0.00;sin coincidencia
PT0271;PT0271;DESYERBE;G;manual;FALTA;;0.00;sin coincidencia
PT0272;PT0272;RICE START C+EM;G;manual;FALTA;;0.00;sin coincidencia
PT0273;PT0273;RICE BALANCE C+EM;G;manual;FALTA;;0.00;sin coincidencia
PT0274;PT0274;PALM DRIVE C+EM;G;manual;FALTA;;0.00;sin coincidencia
PT0275;PT0275;MFE 20-7-10;G;manual;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0276;PT0276;MFE 43.5-0-0-2.4S;PT;manual;NO ESPECIFICA;;0.00;formula sin FT especifica
PT0277;PT0277;NUCLEO FOSFORO 1 - 1;PT;manual;FUERTE;250718_FT NUCLEO FOSFORO-1.docx;0.95;contencion tokens
PT0278;PT0278;NUCLEO FOSFORO 1 - 2;PT;manual;FUERTE;FT NUCLEO FOSFORO-1.docx;0.97;coincidencia fuerte
PT0279;PT0279;NUCLEO CAMASI ROJO;PT;manual;FUERTE;250718_FT NUCLEO CAMASI.docx;0.95;sinonimo: NUCLEO CAMASI
PT0280;PT0280;CALFER FLORACION;PT;manual;FALTA;;0.00;sin coincidencia
PT0281;PT0281;CALFER LLENADO;PT;manual;OK;FT CALFER LLENADO.docx;1.00;exacto nombre
PT0282;PT0282;CALFER MENORES;PT;manual;OK;FT CALFER MENORES.docx;1.00;exacto nombre
PT0283;PT0283;SOLURAIFOS;PT;manual;OK;250718_FT SOLURAIFOS.docx;1.00;exacto nombre
PT0284;PT0284;SULFA K 50;PT;manual;FUERTE;250718_FT SULFAK-50.pdf;1.00;coincidencia fuerte
PT0285;PT0285;PRODUCCION 17;PT;manual;OK;250718_FT PRODUCCION 17.docx;1.00;exacto nombre
PT0286;PT0286;CALFER DESARROLLO;PT;manual;FALTA;;0.00;sin coincidencia
PT0287;PT0287;R-VITAL 17;PT;manual;FALTA;;0.00;sin coincidencia
PT0288;PT0288;ORGANIC M;PT;manual;FALTA;;0.00;sin coincidencia
PT0289;PT0289;FOLLAJE;PT;manual;FALTA;;0.00;sin coincidencia
PT0290;PT0290;GANADERO;PT;manual;FALTA;;0.00;sin coincidencia
PT0291;PT0291;FE SULFATO CALCIO;PT;manual;FUERTE;250718_FT FE SULFATO DE CALCIO .pdf;0.95;contencion tokens
PT0292;PT0292;CALFERCORRECTIVO;PT;manual;OK;250718_FT CALFERCORRECTIVO.docx;1.00;exacto nombre
PT0293;PT0293;NUCLEO N;PT;manual;OK;250718_FT NUCLEO N.docx;1.00;exacto nombre
PT0294;PT0294;1-CRECIMIENTO;PT;manual;OK;FT 1 CRECIMIENTO.docx;1.00;exacto nombre
PT0295;PT0295;2-AVANCE;PT;manual;OK;FT 2 AVANCE.docx;1.00;exacto nombre
PT0296;PT0296;3-PRODUCTOR;PT;manual;OK;FT 3 PRODUCTOR.docx;1.00;exacto nombre
PT0297;PT0297;ZUELO CA P;PT;manual;FUERTE;250718_FT ZUELOCa.pdf;0.93;coincidencia fuerte
PT0298;PT0298;FERTIMENORES;PT;manual;FUERTE;FT FERTIMENORES NP.docx;0.92;coincidencia fuerte
