COD;PRODUCTO
145;AZUFRE
97;DAP
144;KCL
75;KIESERITA
72;MAP
32;SAM
167;SULFATO POTASIO
12;UREA
123;BORO G
150;CALFERZINC P
663;FE FERTIMENORES
141;FE SULFATO CALCIO P
643;FE SULFATO ZINC 22
300;K2K
154;MAGNE 3
411;MF 0-15-15+EM
137;MF 10-20-20
R;MF 10-24-4
86;MF 10-30-10
407;MF 10-10-20+EM
396;MF 10-15-20+EM
495;MF 10-15-29+EM
408;MF 10-20-20+EM
464;MF 10-20-28+EM
423;MF 10-20-30+EM
406;MF 10-24-4+EM
387;MF 10-28-6+EM
390;MF 10-6-4 + EM
670;MF 10-9-30
458;MF 10-9-30+EM
388;MF 11-5-27
543;MF 11-29-12+EM
268;MF 12-24-12
317;MF 12-24-12+EM
318;MF 12-7-12+EM
496;MF 12-30-10+EM
490;MF 13-26-10+ EM
419;MF 13-7-12+EM
381;MF 14-3-19-7Ca+EM
433;MF 14-4-23+EM
516;MF 14-4-24+EM
85;MF 15-15-15
462;MF 15-4-23+EM
426;MF 15-6-8+EM
612;MF 16-26-12
517;MF 16-16-16+EM
441;MF 16-17-0-7Ca+EM
405;MF 16-3-14+EM
R;MF 17-5-7
84;MF 17-6-18-2-1
402;MF 17-6-18-6+EM
R;MF 17-7-2 / MAX UTEO
401;MF 17-8-11+EM+CO
478;MF 17-4-23+EM
477;MF 17-5-7+EM
83;MF 18-18-18
353;MF 18-8-5-4+EM
301;MF 19-1-2-1+EM
304;MF 19-5-9-5+EM
384;MF 19-1-3 + MEORES
442;MF 19-3-18+EM
284;MF 20-17-18+TCM
529;MF 20-0-30-3S
519;MF 20-3-15+EM
457;MF 20-6-0-5CA+EM
631;MF 20-8-10+EM
172;MF 21-1-2+EM
357;MF 21-5-10-6S+EM
415;MF 21-2-8+EM
316;MF 21-3-8-3Ca+MEORES
307;MF 21-4-5-3Ca+MEORES
497;MF 21-5-10+EM
471;MF 21-5-9+EM
632;MF 21-9-9+EM
315;MF 22 3 13 4S+MEORES
524;MF 22-0-25-3S
526;MF 22-0-3+EM
511;MF 22-4-8+EM
525;MF 22-5-13+EM
456;MF 22-6-3+EM
398;MF 22-6-7Ca+EM
633;MF 22-6-7+EM
634;MF 22-9-9+EM
20;MF 23-3-20
618;MF 23 6 8 + EM
394;MF 23-3-20+EM
506;MF 23-5-6+EM
508;MF 23-6-8+EM
308;MF 24-0-17+EM
174;MF 24-3-9-3+EM
348;MF 24-5-7-5S-3Ca+1CO
436;MF 24-0-2+EM
532;MF 24-3-12+EM
440;MF 24-4-11+EM
473;MF 24-5-6+EM
328;MF 25-0-15+EM
146;MF 25-0-17-4S+EM
148;MF 25-10-18+ MEORES
175;MF 25-10-18+EM
382;MF 25-15-2-3-2
82;MF 25-4-24
518;MF 25-17-1+EM
455;MF 25-1-13+EM
509;MF 25-4-11+EM
656;MF 25-4-17+EM
367;MF 25-5-0-8Ca+EM
533;MF 25-5-12+EM
492;MF 25-7K-2CA+EM
652;MF 25-7-7+EM
648;MF 25-8-14+EM
159;MF 26-0-17+EM
176;MF 26-1-12-+EM
619;MF 26 7 6 + EM
514;MF 26-1-11+EM
512;MF 26-5-11+EM
476;MF 26-9-9+EM
R;MF 27-1-12
136;MF 27-17-0Ca
630;MF 27-0-14+EM
385;MF 27-15K-5S-2Si-0,80CO
445;MF 27-1-12-2Ca+EM
475;MF 27-1-7+EM
653;MF 27-1-8+EM
642;MF 27-3-12+EM
536;MF 27-3-3+EM
438;MF 27-4-3+EM
606;MF 27-6-13+EM
480;MF 27-9K-10S+EM
299;MF 28-0-6-2Ca+EM
312;MF 28-0-9-2Ca+EM
165;MF 28-1-12+EM
303;MF 28-1-6-2Ca+EM
352;MF 28-1-6-5S-EM+1CO
620;MF 28-1-7 +EM
617;MF 28 1 8 + EM
513;MF 28-0-12+EM
537;MF 28-14-10+EM
432;MF 28-1-12+EM
487;MF 28-4-15 +EM
469;MF 28-5-6+EM
527;MF 29-0-16-4S
522;MF 29-10-10+EM
417;MF 29-3-15+EM
389;MF 3-10-2 + EM
163;MF 30-0-20 +EM +TMC
418;MF 30 0 20
538;MF 30-11-10+EM
493;MF 30-12K-2CA+EM
298;MF 31-0-20+X
187;MF 31-0-20+TMC
81;MF 31-8-8-2
521;MF 31-6-11+EM
380;MF 32-0-6+EM
327;MF 32-6-5-2SI-1CO
383;MF 32 1 6 2Ca+ EM
665;MF 32-1-12+EM
626;MF 33-1-12+EM
479;MF 33-5-12
523;MF 37-0-11
434;MF 37-2Ca-2Mg+EM
168;MF 38-0-0-8
399;MF 38-10K_
640;MF 3-13-32+EM
369;MF 40-3-0-2+EM
292;MF 52K-1,1B-0,5Z
391;MF 6-9-6+EM
356;MF 7-7-5-3S+EM+2CO
545;MF 7-14-29+EM
313;MF 8-24-8+EM
435;MF 8-15-23+EM
510;MF 8-17-34-1S
453;MF 8-20-12+EM
439;MF 9-12-24+EM
21;MF-17-6-18-2
22;MF-23-3-20-4Ca-3Si
673;MFE 0-10+EM
R;MFE 10-15-20
R;MFE 10-30-10
588;MFE 10 11 29
641;MFE 10-24-14 +EM
542;MFE 10-25-8+EM
589;MFE 10-6-16 +EM
668;MFE 10-6-6+EM
569;MFE 10-9-18+EM
R;MFE 11-10-3
544;MFE 11-24-9+EM
646;MFE 11-25-9+EM
660;MFE 11-9-18+EM
587;MFE 12 25 9
659;MFE 13-15-10+EM
314;MFE 13-26-6+EM
489;MFE 13-36-10+EM
601;MFE 13-6-6+EM
R;MFE 14-4-23
590;MFE 15-12-20+EM
623;MFE 15-20-2+EM
602;MFE 15-21-1+EM
635;MFE 15-9-20+EM
R;MFE 16-16-16
658;MFE 16-21-5+EM
429;MFE 18-18-18+EM
649;MFE 18-2-0+EM
414;MFE 18-9-29+EM
674;MFE 19-25-6+EM
566;MFE 19-4-10+EM
586;MFE 19-4-18
596;MFE 20-3-14+EM
413;MFE 20-4-18+EM
R;MFE 21-5-1
555;MFE 21-4-11+EM
654;MFE 21-7-8 + EM
R;MFE 22-3-13
1410;MFE 22-3-7
R;MFE 22-3-7
664;MFE 22-0-19+EM
560;MFE 22-3-0+ EM
645;MFE 22-3-3+EM
662;MFE 22-6-3+EM
605;MFE 22-7K-12S+EM
639;MFE 22-8-10+EM
535;MFE 22-9-0+EM
R;MFE 23-5-10
669;MFE 23-1-18+EM
651;MFE 23-4-16+EM
593;MFE 23-4-9+EM
420;MFE 23-5-10+EM
554;MFE 23-9-11+EM
R;MFE 24-2-14
650;MFE 24-2-9+EM
585;MFE 24-4-2K+EM
965;MFE 24-4-10+EM
616;MFE 24-6-7+EM
591;MFE 24-9K-12S+EM
614;MFE 24-9-7S+EM
629;MFE 25-0-8+EM
412;MFE 25-13-12 +EM
628;MFE 25-4-14+EM
677;MFE 25-6-0+EM
568;MFE 25-6-13+EM
644;MFE 25-8-16+EM
R;MFE 26-6-2 / SUPER PASTURA
594;MFE 26-11-6+EM
582;MFE 26-20K-4S
627;MFE 26-2-9-2Ca
431;MFE 26-6-2+EM
682;MFE 26-7-0+EM
625;MFE 27-18K-5S
672;MFE 27-20-0+EM
539;MFE 27-5-11+EM
610;MFE 27-8-9+EM ILO
R;MFE 28-0-6
R;MFE 28-1-12
621;MFE 28-24-0
1401;MFE 28 5 5.4 + EM
600;MFE 28-14-6+EM
657;MFE 28-4-9+EM
592;MFE 28-5-0+EM
548;MFE 28-5-15+EM
609;MFE 28-5-9+EM
608;MFE 29 10 6 + EM
428;MFE 29-15-5+EM
607;MFE 29-1-11+EM
683;MFE 29-6-12+EM
840;MFE 30-0-20
598;MFE 30-11-6+EM
465;MFE 30-8-0-5CA+EM
676;MFE 30-9-0+EM
R;MFE 31-0-20 TMC
671;MFE 31-5-0+EM
597;MFE 31-6-7+EM
581;MFE 31-7K-9S
1080;MFE 32-0-9
1402;MFE 32 1 12
599;MFE 33-6-6+EM
666;MFE 4-9-0+ EM
R1;MFE 41.4-0-6
R2;MFE 43.5-0-0-2.4S
622;MFE 5-8-29+EM
603;MFE 6-6-33+EM
661;MFE 7-8-30+EM
551;MFE 8-6-24+EM
164;MICRON C
188;MICRON CS
65;NUCLEO 4
62;NUCLEO CAMASI GRIS
563;NUCLEO CAMASI YARA
140;NUCLEO FERCON
679;NUCLEO FOSFORO 10
208;NUCLEO MAGNESIO
803;NUCLEO MAGNESIO-S
604;NUCLEO MAGNESIO-SILICIO
558;NUCLEO MAGNESIO-SILICIO EM
155;RAIFOS 20
35;SILIMAGRAN
564;SULFATO ZINC 30%
160;ZUELO CA
