codigo_producto,producto_dossier,producto_comp,nutriente,declarado_comp_pct,calculado_formula_pct,delta_pct,kg_totales_en_formula,masa_formulacion_kg
82,25-4-24,MF 25-4-24,N,25,22.6,-2.4,226,1000
82,25-4-24,MF 25-4-24,N-NH4,0,1.44,1.44,14.4,1000
82,25-4-24,MF 25-4-24,N-NO3,0,0,0,0,1000
82,25-4-24,MF 25-4-24,N-org,0,0,0,0,1000
82,25-4-24,MF 25-4-24,N-ur,0,21.16,21.16,211.6,1000
82,25-4-24,MF 25-4-24,P,4,3.68,-0.32,36.8,1000
82,25-4-24,MF 25-4-24,K,24,21.6,-2.4,216,1000
82,25-4-24,MF 25-4-24,CaO,0,0,0,0,1000
82,25-4-24,MF 25-4-24,MgO,0,0,0,0,1000
82,25-4-24,MF 25-4-24,S,0,0,0,0,1000
82,25-4-24,MF 25-4-24,B,0,0,0,0,1000
82,25-4-24,MF 25-4-24,Co,0,0,0,0,1000
82,25-4-24,MF 25-4-24,Cu,0,0,0,0,1000
82,25-4-24,MF 25-4-24,Fe,0,0,0,0,1000
82,25-4-24,MF 25-4-24,Mn,0,0,0,0,1000
82,25-4-24,MF 25-4-24,Mo,0,0,0,0,1000
82,25-4-24,MF 25-4-24,SiO2,0,0,0,0,1000
82,25-4-24,MF 25-4-24,Zn,0,0,0,0,1000
82,25-4-24,MF 25-4-24,Na,0,0,0,0,1000
