dossier,tipo,origen,destino,resultado,observacion
30_KIESERITA P,ft,Z:\cfq_sgc\202_CALFERQUIM\99 Revision\203.10_fichas_tecnicas_mp\_materias-primas\KIESERITA std Manuchar.pdf,Z:\cfq_sgc\SGC_CALFERQUIM\05_Dossier_Productos\30_KIESERITA P\02_Ficha_Tecnica\KIESERITA std Manuchar.pdf,copied,Fuente 99 Revision MP
53_SULFATO DE POTASIO,ft,Z:\cfq_sgc\202_CALFERQUIM\99 Revision\203.10_fichas_tecnicas_mp\_materias-primas\0_FT.MP_SULFATO POTASIO.pdf,Z:\cfq_sgc\SGC_CALFERQUIM\05_Dossier_Productos\53_SULFATO DE POTASIO\02_Ficha_Tecnica\0_FT.MP_SULFATO POTASIO.pdf,copied,Fuente 99 Revision MP
