dossier,tipo,origen,destino_o_carpeta,resultado
43_NUCLEO MAGNESIO-S,ft,Z:\cfq_sgc\202_CALFERQUIM\09 Fichas Tecnicas\FICHAS_TECNICAS_V2\250718_FT NUCLEO MAGNESIO-S.pdf,Z:\cfq_sgc\SGC_CALFERQUIM\05_Dossier_Productos\43_NUCLEO MAGNESIO-S\02_Ficha_Tecnica\250718_FT NUCLEO MAGNESIO-S.pdf,copied
44_NUCLEO N,ft,Z:\cfq_sgc\202_CALFERQUIM\09 Fichas Tecnicas\FICHAS_TECNICAS_V2\250718_FT NUCLEO N.pdf,Z:\cfq_sgc\SGC_CALFERQUIM\05_Dossier_Productos\44_NUCLEO N\02_Ficha_Tecnica\250718_FT NUCLEO N.pdf,copied
44_NUCLEO N,hs,Z:\cfq_sgc\202_CALFERQUIM\07 Hojas de Seguridad\Hoja de Seguridad Nucleo N.docx,Z:\cfq_sgc\SGC_CALFERQUIM\05_Dossier_Productos\44_NUCLEO N\04_Hoja_Seguridad\Hoja de Seguridad Nucleo N.docx,copied
47_R-VITAL 17,hs,Z:\cfq_sgc\202_CALFERQUIM\07 Hojas de Seguridad\Hoja de Seguridad R-VITAL 17.docx,Z:\cfq_sgc\SGC_CALFERQUIM\05_Dossier_Productos\47_R-VITAL 17\04_Hoja_Seguridad\Hoja de Seguridad R-VITAL 17.docx,copied
48_SILICATO DE MAGNESIO,ft,Z:\cfq_sgc\202_CALFERQUIM\09 Fichas Tecnicas\203.15_fichas-tecnicas_N\FICHA TECNICA SILICATO DE MAGNESIO.docx,Z:\cfq_sgc\SGC_CALFERQUIM\05_Dossier_Productos\48_SILICATO DE MAGNESIO\02_Ficha_Tecnica\FICHA TECNICA SILICATO DE MAGNESIO.docx,copied
48_SILICATO DE MAGNESIO,hs,Z:\cfq_sgc\202_CALFERQUIM\07 Hojas de Seguridad\HOJA DE SEGURIDAD -SILICATO DE MAGNESIO.docx,Z:\cfq_sgc\SGC_CALFERQUIM\05_Dossier_Productos\48_SILICATO DE MAGNESIO\04_Hoja_Seguridad\HOJA DE SEGURIDAD -SILICATO DE MAGNESIO.docx,copied
51_SUELO-Ca,ft,Z:\cfq_sgc\202_CALFERQUIM\09 Fichas Tecnicas\203.15_fichas-tecnicas_N\ya FICHA TECNICA SUELO-CA.docx,Z:\cfq_sgc\SGC_CALFERQUIM\05_Dossier_Productos\51_SUELO-Ca\02_Ficha_Tecnica\ya FICHA TECNICA SUELO-CA.docx,copied
51_SUELO-Ca,hs,Z:\cfq_sgc\202_CALFERQUIM\07 Hojas de Seguridad\Hoja de Seguridad SUELO-Ca.docx,Z:\cfq_sgc\SGC_CALFERQUIM\05_Dossier_Productos\51_SUELO-Ca\04_Hoja_Seguridad\Hoja de Seguridad SUELO-Ca.docx,copied
53_SULFATO DE POTASIO,hs,Z:\cfq_sgc\202_CALFERQUIM\07 Hojas de Seguridad\HOJA DE SEGURIDAD SULFATO DE POTASIO.docx,Z:\cfq_sgc\SGC_CALFERQUIM\05_Dossier_Productos\53_SULFATO DE POTASIO\04_Hoja_Seguridad\HOJA DE SEGURIDAD SULFATO DE POTASIO.docx,copied
54_SULFATO DE ZINC AL 35%,ft,Z:\cfq_sgc\202_CALFERQUIM\09 Fichas Tecnicas\203.15_fichas-tecnicas_N\FICHA TECNICA  ZINC AL 35_.docx,Z:\cfq_sgc\SGC_CALFERQUIM\05_Dossier_Productos\54_SULFATO DE ZINC AL 35%\02_Ficha_Tecnica\FICHA TECNICA  ZINC AL 35_.docx,copied
54_SULFATO DE ZINC AL 35%,hs,Z:\cfq_sgc\202_CALFERQUIM\07 Hojas de Seguridad\HOJA DE SEGURIDAD -  SULFATO DE ZINC AL 35_.docx,Z:\cfq_sgc\SGC_CALFERQUIM\05_Dossier_Productos\54_SULFATO DE ZINC AL 35%\04_Hoja_Seguridad\HOJA DE SEGURIDAD -  SULFATO DE ZINC AL 35_.docx,copied
55_SULFATO ZINC 22,ft,Z:\cfq_sgc\202_CALFERQUIM\09 Fichas Tecnicas\FICHAS_TECNICAS_V2\250718_FT SULFATO ZINC 22.pdf,Z:\cfq_sgc\SGC_CALFERQUIM\05_Dossier_Productos\55_SULFATO ZINC 22\02_Ficha_Tecnica\250718_FT SULFATO ZINC 22.pdf,copied
55_SULFATO ZINC 22,hs,Z:\cfq_sgc\202_CALFERQUIM\07 Hojas de Seguridad\Hoja de Seguridad SulfatoZinc22 FE.pdf,Z:\cfq_sgc\SGC_CALFERQUIM\05_Dossier_Productos\55_SULFATO ZINC 22\04_Hoja_Seguridad\Hoja de Seguridad SulfatoZinc22 FE.pdf,copied
56_TODERO,ft,Z:\cfq_sgc\202_CALFERQUIM\08 Registros ICA\todero\10_Ficha Técnica TODERO.docx,Z:\cfq_sgc\SGC_CALFERQUIM\05_Dossier_Productos\56_TODERO\02_Ficha_Tecnica\10_Ficha Técnica TODERO.docx,copied
56_TODERO,hs,Z:\cfq_sgc\202_CALFERQUIM\07 Hojas de Seguridad\Hoja de Seguridad TODERO.docx,Z:\cfq_sgc\SGC_CALFERQUIM\05_Dossier_Productos\56_TODERO\04_Hoja_Seguridad\Hoja de Seguridad TODERO.docx,copied
57_YESO EN POLVO,ft,Z:\cfq_sgc\202_CALFERQUIM\09 Fichas Tecnicas\203.15_fichas-tecnicas_N\FICHA TECNICA YESO AGRICOLA-POLVO.docx,Z:\cfq_sgc\SGC_CALFERQUIM\05_Dossier_Productos\57_YESO EN POLVO\02_Ficha_Tecnica\FICHA TECNICA YESO AGRICOLA-POLVO.docx,copied
57_YESO EN POLVO,hs,Z:\cfq_sgc\202_CALFERQUIM\07 Hojas de Seguridad\HOJA DE SEGURIDAD - YESO EN POLVO.docx,Z:\cfq_sgc\SGC_CALFERQUIM\05_Dossier_Productos\57_YESO EN POLVO\04_Hoja_Seguridad\HOJA DE SEGURIDAD - YESO EN POLVO.docx,copied
58_YESO GRANULADO,ft,Z:\cfq_sgc\202_CALFERQUIM\09 Fichas Tecnicas\203.15_fichas-tecnicas_N\FICHA TECNICA YESO AGRICOLA-GRANULADO.docx,Z:\cfq_sgc\SGC_CALFERQUIM\05_Dossier_Productos\58_YESO GRANULADO\02_Ficha_Tecnica\FICHA TECNICA YESO AGRICOLA-GRANULADO.docx,copied
58_YESO GRANULADO,hs,Z:\cfq_sgc\202_CALFERQUIM\07 Hojas de Seguridad\HOJA DE SEGURIDAD - YESO GRANULADO.docx,Z:\cfq_sgc\SGC_CALFERQUIM\05_Dossier_Productos\58_YESO GRANULADO\04_Hoja_Seguridad\HOJA DE SEGURIDAD - YESO GRANULADO.docx,copied
