dossier_id,materia_prima,dossier_path,ft_status,ft_file,hs_status,hs_file
MP-026,SULFATO DE COBRE,Z:\cfq_sgc\SGC_CALFERQUIM\08_Base_Datos_Tecnica\01_Dossier_Materias_Primas\MP-026_SULFATO_DE_COBRE\,ft_present,0_FT.MP_SULFATO COBRE.pdf,hs_present,11) HS Sulfato de Cobre Pentahidratado 25_ CONAGRAN.pdf
MP-027,SULFATO DE HIERRO,Z:\cfq_sgc\SGC_CALFERQUIM\08_Base_Datos_Tecnica\01_Dossier_Materias_Primas\MP-027_SULFATO_DE_HIERRO\,ft_present,0_FT.MP_SULFATO HIERRO Precisagro.pdf,hs_not_assigned,
MP-028,SULFATO DE MAGNESIO,Z:\cfq_sgc\SGC_CALFERQUIM\08_Base_Datos_Tecnica\01_Dossier_Materias_Primas\MP-028_SULFATO_DE_MAGNESIO\,ft_present,0_FT.MP_SULFATO MAGNESIO.pdf,hs_present,"29. Ficha de datos de seguridad de Kieserita - Sulfato de magnesio monohidratado, kieserite.pdf"
MP-029,SULFATO DE MAGNESIO ANHIDRO,Z:\cfq_sgc\SGC_CALFERQUIM\08_Base_Datos_Tecnica\01_Dossier_Materias_Primas\MP-029_SULFATO_DE_MAGNESIO_ANHIDRO\,ft_present,0_FT.MP_SULFATO MAGNESIO Anhidro.pdf,hs_present,"29. Ficha de datos de seguridad de Kieserita - Sulfato de magnesio monohidratado, kieserite.pdf"
MP-030,SULFATO DE MANGANESO,Z:\cfq_sgc\SGC_CALFERQUIM\08_Base_Datos_Tecnica\01_Dossier_Materias_Primas\MP-030_SULFATO_DE_MANGANESO\,ft_present,0_FT.MP_SULFATO MANGANESO.pdf,hs_present,29. Ficha de datos de seguridad de Sulfato de Manganeso Monohidratado Fino - 17S+31Mn 20231025 22.pdf
MP-031,SULFATO DE POTASIO,Z:\cfq_sgc\SGC_CALFERQUIM\08_Base_Datos_Tecnica\01_Dossier_Materias_Primas\MP-031_SULFATO_DE_POTASIO\,ft_present,0_FT.MP_SULFATO POTASIO.pdf,hs_present,HOJA DE SEGURIDAD SULFATO DE POTASIO.docx
MP-032,SULFATO DE ZINC,Z:\cfq_sgc\SGC_CALFERQUIM\08_Base_Datos_Tecnica\01_Dossier_Materias_Primas\MP-032_SULFATO_DE_ZINC\,ft_present,0_FT.MP_SULFATO ZINC.pdf,hs_present,HOJA DE SEGURIDAD -  SULFATO DE ZINC AL 35_.docx
MP-033,SULFATO FERROSO,Z:\cfq_sgc\SGC_CALFERQUIM\08_Base_Datos_Tecnica\01_Dossier_Materias_Primas\MP-033_SULFATO_FERROSO\,ft_present,0_FT.MP_SULFATO FERROSO.pdf,hs_not_assigned,
MP-034,ULEXITA,Z:\cfq_sgc\SGC_CALFERQUIM\08_Base_Datos_Tecnica\01_Dossier_Materias_Primas\MP-034_ULEXITA\,ft_present,0_FT.MP_ULEXITA.pdf,hs_present,13) Ulexita calcinada Calcined ulexite 45 - TDS (Español) TIERRA SA.pdf
MP-035,UREA,Z:\cfq_sgc\SGC_CALFERQUIM\08_Base_Datos_Tecnica\01_Dossier_Materias_Primas\MP-035_UREA\,ft_present,0_FT.MP_UREA G.pdf,hs_present,21) HS Urea CIAMSA.pdf
MP-036,UREA FOSFATO,Z:\cfq_sgc\SGC_CALFERQUIM\08_Base_Datos_Tecnica\01_Dossier_Materias_Primas\MP-036_UREA_FOSFATO\,ft_present,0_FT.MP_UREA FOSFATO 17.5-44-0.pdf,hs_not_assigned,
MP-037,VINAZA,Z:\cfq_sgc\SGC_CALFERQUIM\08_Base_Datos_Tecnica\01_Dossier_Materias_Primas\MP-037_VINAZA\,ft_present,0_FT.MP_VINAZA (BIORGANIK).pdf,hs_not_assigned,
