codigo_producto,producto_dossier,producto_comp,item_padre,desc_item_padre,codigo_mp,desc_mp,lista_proveedor,cantidad_kg,pct_masa_total,pct_masa_formulacion,es_empaque,match_comp_mp,comp_mp_nombre,comp_mp_proveedor,comp_mp_cprov,pct_N,pct_N-NH4,pct_N-NO3,pct_N-org,pct_N-ur,pct_P,pct_K,pct_CaO,pct_MgO,pct_S,pct_B,pct_Co,pct_Cu,pct_Fe,pct_Mn,pct_Mo,pct_SiO2,pct_Zn,pct_Na,kg_N,kg_N-NH4,kg_N-NO3,kg_N-org,kg_N-ur,kg_P,kg_K,kg_CaO,kg_MgO,kg_S,kg_B,kg_Co,kg_Cu,kg_Fe,kg_Mn,kg_Mo,kg_SiO2,kg_Zn,kg_Na
803,NUCLEO MAGNESIO-S,NUCLEO MAGNESIO-S,803,NUCLEO MAGNESIO-S,5,SULFATO DE CALCIO X KILO,,440,40,40,NO,proveedor_generico_misma_composicion,SULFATO CALCIO,AGROINSUMOS,2,0,0,0,0,0,0,0,22,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.8,0,57.2,0,0,0,0,0,0,0,0,0
803,NUCLEO MAGNESIO-S,NUCLEO MAGNESIO-S,803,NUCLEO MAGNESIO-S,74,KIESERITA EN POLVO X KILO,,180,16.3636,16.3636,NO,proveedor_generico_misma_composicion,KIESERITA,MANUCHAR,1,0,0,0,0,0,0,0,0,25,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,36,0,0,0,0,0,0,0,0,0
803,NUCLEO MAGNESIO-S,NUCLEO MAGNESIO-S,803,NUCLEO MAGNESIO-S,111,BENTONITA ROJA X KILO,,70,6.3636,6.3636,NO,proveedor_generico_misma_composicion,BENTONITA ROJA,COMERCIALIZADORA HA,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,32.9,0,0
803,NUCLEO MAGNESIO-S,NUCLEO MAGNESIO-S,803,NUCLEO MAGNESIO-S,274,SILICATO DE MAGNESIO X KILO,,310,28.1818,28.1818,NO,proveedor_ambiguo,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
803,NUCLEO MAGNESIO-S,NUCLEO MAGNESIO-S,803,NUCLEO MAGNESIO-S,214,VINAZA X KILO,,100,9.0909,9.0909,NO,proveedor_generico_misma_composicion,VINAZA,MANUELITA,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
