ID_PROD;COD;PRODUCTO;PROVEEDOR;Cprov;CLASE;TIPO;NOMBRE;C;N;N-NH4;N-NO3;N-org;N-ur;P;K;CaO;MgO;S;B;Co;Cu;Fe;Mn;Mo;SiO2;Zn;Na;COMP1;COMP2;COMP3;COMP4;COMP5;COMP6;COMP7;COMP8;COMP9;COMP10
681-ROCA FOSFORICA-30- 1-P;681;ROCA FOSFORICA-30;;1;MP;P;681-ROCA FOSFORICA-30- 1-P;;;;;;;30,00;;;;;;;;;;;;;;;;;;;;;;;
40-SAM STD- 1-P;40;SAM STD;;1;MP;P;40-SAM STD- 1-P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
171-SILICATO HIERRO-HYM 1-P;171;SILICATO HIERRO;HYM;1;MP;P;171-SILICATO HIERRO-HYM 1-P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
274-SILICATO MAGNESIO-AGROINDUSTRIAL 2-P;274;SILICATO MAGNESIO;AGROINDUSTRIAL;2;MP;P;274-SILICATO MAGNESIO-AGROINDUSTRIAL 2-P;;;;;;;;;;33,86;;;;;;;;36,98;;;;;;;;;;;;
37-SILICATO SODIO- 1-P;37;SILICATO SODIO;;1;MP;P;37-SILICATO SODIO- 1-P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5-SULFATO CALCIO-AGROINSUMOS 2-P;5;SULFATO CALCIO;AGROINSUMOS;2;MP;P;5-SULFATO CALCIO-AGROINSUMOS 2-P;;;;;;;;;22,00;;13,00;;;;;;;;;;;;;;;;;;;
505-SULFATO CALCIO SUCROAL- 1-P;505;SULFATO CALCIO SUCROAL;;1;MP;P;505-SULFATO CALCIO SUCROAL- 1-P;;;;;;;;;22,00;;13,00;;;;;;;;;;;;;;;;;;;
831-SULFATO COBRE- 1-P;831;SULFATO COBRE;;1;MP;P;831-SULFATO COBRE- 1-P;;;;;;;;;;;12;;;25;;;;;;;;;;;;;;;;
30-SULFATO COBRE 22- 1-P;30;SULFATO COBRE 22;;1;MP;P;30-SULFATO COBRE 22- 1-P;;;;;;;;;;;12;;;22,00;;;;;;;;;;;;;;;;
173-SULFATO COBRE 25- 1-P;173;SULFATO COBRE 25;;1;MP;P;173-SULFATO COBRE 25- 1-P;;;;;;;;;;;12;;;25;;;;;;;;;;;;;;;;
23-SULFATO DE ZINC 35%-IMPORTADO 2-P;23;SULFATO DE ZINC 35%;IMPORTADO;2;MP;P;23-SULFATO DE ZINC 35%-IMPORTADO 2-P;;;;;;;;;;;11,00;;;;;;;;35,00;;;;;;;;;;;
28-SULFATO HIERRO- 1-P;28;SULFATO HIERRO;;1;MP;P;28-SULFATO HIERRO- 1-P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
425-SULFATO MANGANESO- 1-P;425;SULFATO MANGANESO;;1;MP;P;425-SULFATO MANGANESO- 1-P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21-SULFATO ZINC 22 MP- 1-P;21;SULFATO ZINC 22 MP;;1;MP;P;21-SULFATO ZINC 22 MP- 1-P;;;;;;;;;;;;;;;;;;;22,00;;;;;;;;;;;
227-SULFATO ZINC 32- 1-P;227;SULFATO ZINC 32;;1;MP;P;227-SULFATO ZINC 32- 1-P;;;;;;;;;;;;;;;;;;;32;;;;;;;;;;;
23-SULFATO ZINC 35-ATEQUIMICOS 1-P;23;SULFATO ZINC 35;ATEQUIMICOS;1;MP;P;23-SULFATO ZINC 35-ATEQUIMICOS 1-P;;;;;;;;;;;;;;;;;;;35,00;;;;;;;;;;;
323-SULFATO ZINC 38- 1-P;323;SULFATO ZINC 38;;1;MP;P;323-SULFATO ZINC 38- 1-P;;;;;;;;;;;;;;;;;;;38;;;;;;;;;;;
16-ULEXITA-ATEQUIMICO 1-P;16;ULEXITA;ATEQUIMICO;1;MP;P;16-ULEXITA-ATEQUIMICO 1-P;;;;;;;;;13,00;;;14,00;;;;;;;;;;;;;;;;;;
