Nombre,Tipo,Estado,Nitrógeno total,Nitrógeno amoniacal,Nitrógeno uréico,Nitrógeno orgánico,Nitrógeno nítrico,Fósforo total,Fósforo asimilable,Fósforo lenta asimilación,Potasio total,Potasio soluble,Calcio Total,Calcio Soluble,Magnesio Total,Magnesio Soluble,Azufre Total,Azufre Soluble,Boro Total,Boro Soluble,Cobalto Total,Cobalto Soluble,Cobre Total,Cobre Soluble,Hierro Total,Hierro Soluble,Manganeso Total,Manganeso Soluble,Molibdeno Total,Molibdeno Soluble,Silicio Total,Silicio Soluble,Sodio Total,Sodio Soluble,Zinc Total,Zinc Soluble,Carbono Organico,Capacidad-Intercambio-Cationico,Cenizas,Perdidas por volatilización,Capacidad de Retención de Humedad, Residuo,pH,Densidad,Humedad,Conductividad Eléctrica,Solubilidad en agua,Solubilidad en ácido,Cromo,Cadmio,Mercurio,Plomo,Niquel,Coliformes Totales,Salmonella spp,Enterobacterias,Huevos de Helmintos
2 Avance,soluble,polvo,x,x,x,,x,x,x,x,x,x,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,,,,,,,x,x,x,x,x,,x,x,x,x,x,,,,
3 Productor,soluble,polvo,x,x,x,,x,x,x,x,x,x,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,,,,,,,x,x,x,x,x,,x,x,x,x,x,,,,
Calferdesarrollo,soluble,polvo,x,x,x,,x,x,x,x,x,x,,,x,x,x,x,,,,,,,,,,,,,,,x,x,x,x,,,,,,,x,x,x,x,x,,x,x,x,x,x,,,,
Calfer Floracion 10 25 11,soluble,polvo,x,x,x,,x,x,x,x,x,x,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,,,,,,,x,x,x,x,x,,x,x,x,x,x,,,,
Calfer Llenado 5 15 45,soluble,polvo,x,x,x,,x,x,x,x,x,x,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,,,,,,,x,x,x,x,x,,x,x,x,x,x,,,,
Calfermenores,soluble,polvo,,,,,,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,x,x,,,,,,,x,x,x,x,x,,x,x,x,x,x,,,,
Soluraifos,soluble,polvo,x,,,,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,,x,x,x,x,x,,,,
Sulfak 50,soluble,polvo,,,,,,x,,,x,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,,x,x,x,x,x,,,,
Produccion 17,compuesto,granulado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,,x,x,x,x,x,,,,
Calferdesarrollo,soluble,polvo,x,,,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,,x,x,x,x,x,,,,
Organic M,soluble,polvo,x,,,,,x,,,x,,x,,x,,x,,,,,,,,,,,,,,,,,,,,x,x,,,,,x,x,x,x,x,,x,x,x,x,x,x,x,x,x
