DOSSIER,PRODUCTO,MATERIA_PRIMA,KG_TON,C,N,N-NH4,N-NO3,N-org,N-ur,P,K,CaO,MgO,S,B,Co,Cu,Fe,Mn,Mo,SiO2,Zn,Na
03_3-PRODUCTOR,3-PRODUCTOR 7-12-40,SULFATO DE MAGNESIO ANHIDRO,62.5,0,0,0,0,0,0,0,0,0,1.5625,1.25,0,0,0,0,0,0,0,0,0
03_3-PRODUCTOR,3-PRODUCTOR 7-12-40,ACIDO BORICO,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03_3-PRODUCTOR,3-PRODUCTOR 7-12-40,SULFATO DE COBALTO,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03_3-PRODUCTOR,3-PRODUCTOR 7-12-40,SULFATO DE COBRE,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0176,0,0,0,0,0,0
03_3-PRODUCTOR,3-PRODUCTOR 7-12-40,SULFATO DE HIERRO,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03_3-PRODUCTOR,3-PRODUCTOR 7-12-40,SULFATO DE MANGANESO,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03_3-PRODUCTOR,3-PRODUCTOR 7-12-40,MOLIBDATO DE SODIO,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03_3-PRODUCTOR,3-PRODUCTOR 7-12-40,SULFATO DE ZINC,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0315,0
03_3-PRODUCTOR,3-PRODUCTOR 7-12-40,E.D.T.A,50.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03_3-PRODUCTOR,3-PRODUCTOR 7-12-40,DIÓXIDO SILICIO,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03_3-PRODUCTOR,3-PRODUCTOR 7-12-40,TOTAL,,0,0.6762,0.6762,0,0,0,0,6.2712,0,1.5625,4.1936,0,0,0.0176,0,0,0,0,0.0315,0
04_10-20-20,TODERO,UREA,381.592554291624,0,17.5533,0,0,0,17.5533,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04_10-20-20,TODERO,FOSFATO MONOAMONICO (MAP),77.0423991726991,0,0.8475,0.8475,0,0,0,4.0062,0,0,0,0,0,0,0,0,0,0,0,0,0
04_10-20-20,TODERO,FOSFATO MONOPOTASICO (MKP),32.8852119958635,0,0,0,0,0,0,1.71,1.1181,0,0,0,0,0,0,0,0,0,0,0,0
04_10-20-20,TODERO,FOSFATO DIPOTASICO (DKP),355.222337125129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04_10-20-20,TODERO,SULFATO MAGNESIO ANHIDRO,33.6091003102379,0,0,0,0,0,0,0,0,0,0.8402,0.6722,0,0,0,0,0,0,0,0,0
04_10-20-20,TODERO,SULFATO DE COBRE,1.24095139607032,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0273,0,0,0,0,0,0
04_10-20-20,TODERO,SULFATO FERROSO MONOHIDRATO,3.61944157187177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04_10-20-20,TODERO,SULFATO DE MANGANESO,1.03412616339193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04_10-20-20,TODERO,SULFATO DE ZINC,2.06825232678387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0724,0
04_10-20-20,TODERO,QUITINA ORGÁNICA (HYT-C),111.685625646329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04_10-20-20,TODERO,TOTAL,,0,18.4007,0.8475,0,0,17.5533,5.7162,1.1181,0,0.8402,0.6722,0,0,0.0273,0,0,0,0,0.0724,0
05_10-30-10,TODERO,UREA,381.592554291624,0,17.5533,0,0,0,17.5533,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05_10-30-10,TODERO,FOSFATO MONOAMONICO (MAP),77.0423991726991,0,0.8475,0.8475,0,0,0,4.0062,0,0,0,0,0,0,0,0,0,0,0,0,0
05_10-30-10,TODERO,FOSFATO MONOPOTASICO (MKP),32.8852119958635,0,0,0,0,0,0,1.71,1.1181,0,0,0,0,0,0,0,0,0,0,0,0
05_10-30-10,TODERO,FOSFATO DIPOTASICO (DKP),355.222337125129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05_10-30-10,TODERO,SULFATO MAGNESIO ANHIDRO,33.6091003102379,0,0,0,0,0,0,0,0,0,0.8402,0.6722,0,0,0,0,0,0,0,0,0
05_10-30-10,TODERO,SULFATO DE COBRE,1.24095139607032,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0273,0,0,0,0,0,0
05_10-30-10,TODERO,SULFATO FERROSO MONOHIDRATO,3.61944157187177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05_10-30-10,TODERO,SULFATO DE MANGANESO,1.03412616339193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05_10-30-10,TODERO,SULFATO DE ZINC,2.06825232678387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0724,0
05_10-30-10,TODERO,QUITINA ORGÁNICA (HYT-C),111.685625646329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05_10-30-10,TODERO,TOTAL,,0,18.4007,0.8475,0,0,17.5533,5.7162,1.1181,0,0.8402,0.6722,0,0,0.0273,0,0,0,0,0.0724,0
