Ext. 1 detalle	Desc. grupo impositivo	Item	Referencia	Desc. item	Grupo impositivo	Tipo inventario	Desc. tipo inventario	Tipo item	Manufactura	Extensión	Maneja lote	U.M. adic.	Asignación lote	
	EXCLUIDA RETECOMPRA 2.5 Y AUTOCREE	0000029	MP0031	ACIDO BORICO EN POLVO	003 	IN14050501	MATERIA PRIMA EXCLUIDA	Inventario	Si	No	Si	    	Manual	
	EXCLUIDA RETECOMPRA 2.5 Y AUTOCREE	0000030	MP0032	KCL STANDAR X KILO	003 	IN14050501	MATERIA PRIMA EXCLUIDA	Inventario	Si	No	Si	    	Manual	
	EXCLUIDA RETECOMPRA 2.5 Y AUTOCREE	0000031	MP0033	KCL GRANULADO X KILO	003 	IN14050501	MATERIA PRIMA EXCLUIDA	Inventario	Si	No	Si	    	Manual	
	EXCLUIDA RETECOMPRA 2.5 Y AUTOCREE	0000032	MP0034	AZUFRE GRANULADO X KILO	003 	IN14050501	MATERIA PRIMA EXCLUIDA	Inventario	Si	No	Si	    	Manual	
	EXCLUIDA RETECOMPRA 2.5 Y AUTOCREE	0000033	MP0035	LEONARDITA X KILO	003 	IN14050501	MATERIA PRIMA EXCLUIDA	Inventario	Si	No	Si	    	Manual	
	EXCLUIDA RETECOMPRA 2.5 Y AUTOCREE	0000034	MP0036	NITRO XTEND GRA X KILO	003 	IN14050501	MATERIA PRIMA EXCLUIDA	Inventario	Si	No	Si	    	Manual	
	EXCLUIDA RETECOMPRA 2.5 Y AUTOCREE	0000035	MP0037	SULFATO DE POTASIO GRANULADO X KILO	003 	IN14050501	MATERIA PRIMA EXCLUIDA	Inventario	Si	No	Si	    	Manual	
	EXCLUIDA RETECOMPRA 2.5 Y AUTOCREE	0000037	MP0039	SILICATO DE HIERRO X KILO	003 	IN14050501	MATERIA PRIMA EXCLUIDA	Inventario	Si	No	Si	    	Manual	
	EXCLUIDA RETECOMPRA 2.5 Y AUTOCREE	0000038	MP0040	SULFATO DE COBRE 25% X KILO	003 	IN14050501	MATERIA PRIMA EXCLUIDA	Inventario	Si	No	Si	    	Manual	
	EXCLUIDA RETECOMPRA 2.5 Y AUTOCREE	0000039	MP0041	MKP X KILO	003 	IN14050501	MATERIA PRIMA EXCLUIDA	Inventario	Si	No	Si	    	Manual	
	EXCLUIDA RETECOMPRA 2.5 Y AUTOCREE	0000040	MP0043	SULFATO DE MAGNESIO X KILO	003 	IN14050501	MATERIA PRIMA EXCLUIDA	Inventario	Si	No	Si	    	Manual	
	EXCLUIDA RETECOMPRA 2.5 Y AUTOCREE	0000041	MP0044	AZUFRE MICRONIZADO X KILO	003 	IN14050501	MATERIA PRIMA EXCLUIDA	Inventario	Si	No	Si	    	Manual	
	EXCLUIDA RETECOMPRA 2.5 Y AUTOCREE	0000042	MP0045	MAP TECNICO X KILO	003 	IN14050501	MATERIA PRIMA EXCLUIDA	Inventario	Si	No	Si	    	Manual	
	EXCLUIDA RETECOMPRA 2.5 Y AUTOCREE	0000043	MP0046	HUMATO DE POTASIO X KILO	003 	IN14050501	MATERIA PRIMA EXCLUIDA	Inventario	Si	No	Si	    	Manual	
	EXCLUIDA RETECOMPRA 2.5 Y AUTOCREE	0000044	MP0047	SULFATO DE POTASIO SOLUBLE X KILO	003 	IN14050501	MATERIA PRIMA EXCLUIDA	Inventario	Si	No	Si	    	Manual	
	EXCLUIDA RETECOMPRA 2.5 Y AUTOCREE	0000045	MP0048	BENTONITA SODICA X KILO	003 	IN14050501	MATERIA PRIMA EXCLUIDA	Inventario	Si	No	Si	    	Manual	
	EXCLUIDA RETECOMPRA 2.5 Y AUTOCREE	0000046	MP0049	BIOCANECON X KILO	003 	IN14050501	MATERIA PRIMA EXCLUIDA	Inventario	Si	No	Si	    	Manual	
	EXCLUIDA RETECOMPRA 2.5 Y AUTOCREE	0000047	MP0050	ABOTAIN X KILO	003 	IN14050501	MATERIA PRIMA EXCLUIDA	Inventario	Si	No	Si	    	Manual	
	EXCLUIDA RETECOMPRA 2.5 Y AUTOCREE	0000049	MP0052	VINAZA X KILO	003 	IN14050501	MATERIA PRIMA EXCLUIDA	Inventario	Si	No	Si	    	Manual	
	EXCLUIDA RETECOMPRA 2.5 Y AUTOCREE	0000050	MP0053	CALCINIT X KILO	003 	IN14050501	MATERIA PRIMA EXCLUIDA	Inventario	Si	No	Si	    	Manual	
